SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,3508 NE 98th St,Seattle,WA,98115,1199000,4,2.0,Wedgwood,2220,8222,1957,2,540,,Active,November-23-2025 11:00 AM,November-23-2025 01:00 PM,https://www.redfin.com/WA/Seattle/3508-NE-98th-St-98115/home/113419,NWMLS as Distributed by MLS Grid,2455973,N,Y,47.7004181,-122.2901818
MLS Listing,,Single Family Residential,12736 67th Pl S,Seattle,WA,98178,750000,4,2.5,Campbell Hill,2250,3379,2007,2,333,,Active,,,https://www.redfin.com/WA/Seattle/12736-67th-Pl-S-98178/home/12089033,NWMLS as Distributed by MLS Grid,2455599,N,Y,47.4891117,-122.249299
MLS Listing,,Condo/Co-op,905 NE 43rd St #108,Seattle,WA,98105,248950,1,1.0,University District,652,,1926,2,382,1124,Active,November-29-2025 11:00 AM,November-29-2025 01:00 PM,https://www.redfin.com/WA/Seattle/905-NE-43rd-St-98105/unit-108/home/12280751,NWMLS as Distributed by MLS Grid,2456487,N,Y,47.6592427,-122.3184878
MLS Listing,,Single Family Residential,9820 S 210th Pl,Kent,WA,98031,600000,3,1.5,Kent,1060,9659,1963,4,566,,Active,November-23-2025 02:00 PM,November-23-2025 04:00 PM,https://www.redfin.com/WA/Kent/9820-S-210th-Pl-98031/home/385425,NWMLS as Distributed by MLS Grid,2452026,N,Y,47.4138987,-122.2093701
MLS Listing,,Condo/Co-op,14598 Westminster Way N #107,Shoreline,WA,98133,599900,2,2.0,Westminster,1332,,2023,4,450,522,Active,November-23-2025 11:00 AM,November-23-2025 01:00 PM,https://www.redfin.com/WA/Shoreline/14598-Westminster-Way-N-98133/unit-107/home/192272671,NWMLS as Distributed by MLS Grid,2455244,N,Y,47.7353702,-122.3540073
MLS Listing,,Townhouse,7410 Newcastle Golf Club Rd Unit G,Newcastle,WA,98059,589000,2,2.0,Newcastle,1149,,2003,4,513,425,Active,November-23-2025 11:00 AM,November-23-2025 01:00 PM,https://www.redfin.com/WA/Newcastle/7410-Newcastle-Golf-Club-Rd-98059/unit-G/home/12552320,NWMLS as Distributed by MLS Grid,2454926,N,Y,47.5361819,-122.161569
MLS Listing,,Condo/Co-op,925 6th Ave NE Unit 10.1,Issaquah,WA,98029,1350000,4,4.0,Issaquah Highlands,2299,,2021,6,587,350,Active,November-23-2025 11:00 AM,November-23-2025 01:00 PM,https://www.redfin.com/WA/Issaquah/925-6th-Ave-NE-98029/unit-101/home/199124743,NWMLS as Distributed by MLS Grid,2448470,N,Y,47.5400622,-122.0232043
MLS Listing,,Condo/Co-op,121 Vine St #402,Seattle,WA,98121,399000,1,1.0,Belltown,661,,1989,9,604,500,Active,,,https://www.redfin.com/WA/Seattle/121-Vine-St-98121/unit-402/home/43776,NWMLS as Distributed by MLS Grid,2455322,N,Y,47.6155541,-122.3487804
MLS Listing,,Condo/Co-op,3104 Western Ave #610,Seattle,WA,98121,399000,1,1.0,Belltown,769,,2008,9,519,546,Active,,,https://www.redfin.com/WA/Seattle/3104-Western-Ave-98121/unit-610/home/17382010,NWMLS as Distributed by MLS Grid,2447937,N,Y,47.618195,-122.356091
MLS Listing,,Townhouse,301 W Raye St #201,Seattle,WA,98119,380000,2,1.0,Queen Anne,605,,1987,9,628,557,Active,,,https://www.redfin.com/WA/Seattle/301-W-Raye-St-98119/unit-201/home/2064460,NWMLS as Distributed by MLS Grid,2454729,N,Y,47.6429094,-122.3612121
MLS Listing,,Condo/Co-op,17535 150th Ct SE Unit N1,Renton,WA,98058,249995,1,1.0,Renton,588,,1979,9,425,341,Active,,,https://www.redfin.com/WA/Renton/17535-150th-Ct-SE-98058/unit-N1/home/191511546,NWMLS as Distributed by MLS Grid,2455160,N,Y,47.4451665,-122.14093
MLS Listing,,Condo/Co-op,1120 Spring St #802,Seattle,WA,98104,574000,2,1.5,First Hill,918,,1982,9,625,638,Active,,,https://www.redfin.com/WA/Seattle/1120-Spring-St-98104/unit-802/home/25472,NWMLS as Distributed by MLS Grid,2436570,N,Y,47.6106057,-122.3252062
MLS Listing,,Single Family Residential,16602 126th Ave SE,Renton,WA,98058,649000,3,2.0,Benson Hill,1200,7616,1963,10,541,,Active,November-23-2025 11:00 AM,November-23-2025 01:00 PM,https://www.redfin.com/WA/Renton/16602-126th-Ave-SE-98058/home/227917,NWMLS as Distributed by MLS Grid,2452798,N,Y,47.4547774,-122.1738244
MLS Listing,,Single Family Residential,30231 129th Ave SE,Auburn,WA,98092,742950,4,3.0,Lea Hill,2400,7008,1999,10,310,50,Active,,,https://www.redfin.com/WA/Auburn/30231-129th-Ave-SE-98092/home/403269,NWMLS as Distributed by MLS Grid,2454370,N,Y,47.3307948,-122.1701796
MLS Listing,,Single Family Residential,11575 SE 81st St,Newcastle,WA,98056,2199000,6,4.5,Newcastle,4040,8508,2020,11,544,,Active,,,https://www.redfin.com/WA/Newcastle/11575-SE-81st-St-98056/home/168840489,NWMLS as Distributed by MLS Grid,2454397,N,Y,47.5301143,-122.1862239
MLS Listing,,Single Family Residential,20119 208th Ave SE,Renton,WA,98058,1299999,3,2.5,Renton,3142,54885,1998,11,414,,Active,,,https://www.redfin.com/WA/Renton/20119-208th-Ave-SE-98058/home/391024,NWMLS as Distributed by MLS Grid,2450937,N,Y,47.4215127,-122.0642733
MLS Listing,,Condo/Co-op,122 State St S Unit 208E,Kirkland,WA,98033,800000,2,2.0,Downtown,949,,1995,13,843,975,Active,,,https://www.redfin.com/WA/Kirkland/122-State-St-S-98033/unit-208E/home/9444,NWMLS as Distributed by MLS Grid,2444195,N,Y,47.6749207,-122.2023115
MLS Listing,,Townhouse,11564 SE 170th Ct,Renton,WA,98055,424990,2,2.5,Renton,1160,1579,2007,14,366,425,Active,,,https://www.redfin.com/WA/Renton/11564-SE-170th-Ct-98055/home/17082027,NWMLS as Distributed by MLS Grid,2453686,N,Y,47.4497866,-122.1868707
MLS Listing,,Condo/Co-op,12510 109th Ct NE Unit E101,Kirkland,WA,98034,499950,3,2.0,Juanita,1158,,1991,16,432,700,Active,,,https://www.redfin.com/WA/Kirkland/12510-109th-Ct-NE-98034/unit-E101/home/59195,NWMLS as Distributed by MLS Grid,2452760,N,Y,47.711501,-122.196329
MLS Listing,,Single Family Residential,1903 Clovercrest St,Enumclaw,WA,98022,475000,3,1.0,Enumclaw,1180,7600,1963,16,403,,Active,November-23-2025 02:30 PM,November-23-2025 04:30 PM,https://www.redfin.com/WA/Enumclaw/1903-Clovercrest-St-98022/home/297126,NWMLS as Distributed by MLS Grid,2449640,N,Y,47.2089446,-122.0047742
MLS Listing,,Single Family Residential,3067 S 276th Ct,Auburn,WA,98001,785000,3,2.5,Star Lake,2230,4511,2018,17,352,110,Active,,,https://www.redfin.com/WA/Auburn/3067-S-276th-Ct-98001/home/113178965,NWMLS as Distributed by MLS Grid,2451457,N,Y,47.3533587,-122.2936352
MLS Listing,,Single Family Residential,4535 NE 55th St,Seattle,WA,98105,1075000,3,3.5,Windermere,1700,1969,2006,17,632,,Active,November-23-2025 02:00 PM,November-23-2025 04:00 PM,https://www.redfin.com/WA/Seattle/4535-NE-55th-St-98105/home/11761491,NWMLS as Distributed by MLS Grid,2452191,N,Y,47.6691,-122.2780737
MLS Listing,,Condo/Co-op,827 Hiawatha Pl S #212,Seattle,WA,98144,279900,1,1.0,Central Area,608,,2009,17,460,466,Active,,,https://www.redfin.com/WA/Seattle/827-Hiawatha-Pl-S-98144/unit-212/home/28624695,NWMLS as Distributed by MLS Grid,2450955,N,Y,47.59526,-122.310111
MLS Listing,,Single Family Residential,13209 69th Ave NE,Kirkland,WA,98034,1595000,4,3.0,Holmes Point,2940,20328,1960,18,543,,Active,November-23-2025 11:00 AM,November-23-2025 01:00 PM,https://www.redfin.com/WA/Kirkland/13209-69th-Ave-NE-98034/home/280546,NWMLS as Distributed by MLS Grid,2449478,N,Y,47.7191691,-122.2495418
MLS Listing,,Townhouse,4100 37th Ave S,Seattle,WA,98118,599000,2,2.0,Columbia City,1212,630,2020,18,494,,Active,,,https://www.redfin.com/WA/Seattle/4100-37th-Ave-S-98118/home/173158720,NWMLS as Distributed by MLS Grid,2452043,N,Y,47.5660657,-122.2858956
MLS Listing,,Townhouse,22607 42nd Pl S Unit 1-3,Kent,WA,98032,425000,2,2.5,Kent,1293,,2003,18,329,630,Active,,,https://www.redfin.com/WA/Kent/22607-42nd-Pl-S-98032/unit-1-3/home/50020,NWMLS as Distributed by MLS Grid,2449604,N,Y,47.398726,-122.280815
MLS Listing,,Townhouse,102 24th Ave E Unit A,Seattle,WA,98112,875000,3,3.0,Central Area,1313,1395,2004,23,666,,Active,,,https://www.redfin.com/WA/Seattle/102-24th-Ave-E-98112/unit-A/home/2066981,NWMLS as Distributed by MLS Grid,2435419,N,Y,47.619027,-122.300719
