SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,June-9-2025,Condo/Co-op,12505 NE 116th St Unit A10,Kirkland,WA,98034,407000,2,1.0,North Rose Hill,923,,1980,,441,489,Sold,,,https://www.redfin.com/WA/Kirkland/12505-NE-116th-St-98034/unit-A10/home/56104,NWMLS as Distributed by MLS Grid,2391648,N,Y,47.7035535,-122.1738674
PAST SALE,August-15-2025,Condo/Co-op,935 1st St S #4,Kirkland,WA,98033,1300000,2,1.0,Kirkland,1065,,1963,,1221,475,Sold,,,https://www.redfin.com/WA/Kirkland/935-1st-St-S-98033/unit-4/home/21647,NWMLS as Distributed by MLS Grid,2409221,N,Y,47.668248,-122.2061295
PAST SALE,October-8-2025,Single Family Residential,1536 NE 95th St,Seattle,WA,98115,825000,3,2.0,Maple Leaf,1690,5080,1941,,488,,Sold,,,https://www.redfin.com/WA/Seattle/1536-NE-95th-St-98115/home/106686,NWMLS as Distributed by MLS Grid,2443323,N,Y,47.6978745,-122.3104317
PAST SALE,October-8-2025,Townhouse,4295 Stossel Ave,Carnation,WA,98014,819900,4,2.5,Downtown Carnation,1685,1937,2025,,487,150,Sold,,,https://www.redfin.com/WA/Carnation/4295-Stossel-Ave-98014/home/197770940,NWMLS as Distributed by MLS Grid,2430435,N,Y,47.646673,-121.912417
PAST SALE,August-18-2025,Vacant Land,0 xxx 174th Ave NE,Woodinville,WA,98072,100000,,,Woodinville,,108029,,,,,Sold,,,https://www.redfin.com/WA/Woodinville/0-xxx-174th-Ave-NE-98072/home/197284151,NWMLS as Distributed by MLS Grid,2423636,N,Y,47.741672,-122.107456
PAST SALE,June-18-2025,Single Family Residential,28424 50th,Auburn,WA,98001,470000,6,2.0,Auburn,1670,10000,1963,,281,,Sold,,,https://www.redfin.com/WA/Auburn/28424-50th-Ave-S-98001/home/208770,NWMLS as Distributed by MLS Grid,2398234,N,Y,47.3463813,-122.2709925
PAST SALE,August-19-2025,Townhouse,1855 Trossachs Blvd SE #2702,Sammamish,WA,98075,565000,2,2.0,Trossachs,1088,,2003,,519,608,Sold,,,https://www.redfin.com/WA/Sammamish/1855-Trossachs-Blvd-SE-98075/unit-2702/home/22823,NWMLS as Distributed by MLS Grid,2423249,N,Y,47.592002,-121.97913
PAST SALE,May-19-2025,Single Family Residential,14925 SE 308th St,Kent,WA,98042,480000,3,1.0,Kent,1200,9750,1968,,400,,Sold,,,https://www.redfin.com/WA/Kent/14925-SE-308th-St-98042/home/381291,NWMLS as Distributed by MLS Grid,2386421,N,Y,47.3256672,-122.1420994
PAST SALE,August-29-2025,Single Family Residential,4712 S Angeline St,Seattle,WA,98118,775000,2,1.0,Seward Park,1490,3840,1908,,520,,Sold,,,https://www.redfin.com/WA/Seattle/4712-S-Angeline-St-98118/home/492487,NWMLS as Distributed by MLS Grid,2427950,N,Y,47.5595575,-122.2737221
