SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,June-30-2025,Single Family Residential,7505 225th Avenue Ct E,Buckley,WA,98321,745000,5,2.5,Buckley,3156,12141,2006,,236,38,Sold,,,https://www.redfin.com/WA/Buckley/7505-225th-Avenue-Ct-E-98321/home/3037392,NWMLS as Distributed by MLS Grid,2402887,N,Y,47.1894202,-122.1286569
PAST SALE,June-2-2025,Single Family Residential,9711 Golden Given Rd E,Tacoma,WA,98445,580000,1,1.0,Tacoma,1809,25660,1965,,321,,Sold,,,https://www.redfin.com/WA/Tacoma/9711-Golden-Given-Rd-E-98445/home/2968714,NWMLS as Distributed by MLS Grid,2386593,N,Y,47.1682833,-122.4151271
PAST SALE,July-18-2025,Single Family Residential,25 Forest Glen Ln SW,Lakewood,WA,98498,1550000,4,4.5,Lakewood,4917,47625,1951,,315,,Sold,,,https://www.redfin.com/WA/Lakewood/25-Forest-Glen-Ln-SW-98498/home/2977672,NWMLS as Distributed by MLS Grid,2409730,N,Y,47.140087,-122.5280744
PAST SALE,June-27-2025,Single Family Residential,10815 Evergreen Ter SW,Lakewood,WA,98498,1550000,3,2.5,Lake Steilacoom,3200,24000,1954,,484,63,Sold,,,https://www.redfin.com/WA/Lakewood/10815-Evergreen-Ter-SW-98498/home/2849113,NWMLS as Distributed by MLS Grid,2400567,N,Y,47.1596,-122.5384009
PAST SALE,July-18-2025,Multi-Family (2-4 Unit),9608 16th Ave S,Tacoma,WA,98444,622000,,,Parkland,2244,13746,2003,,277,,Sold,,,https://www.redfin.com/WA/Tacoma/9608-16th-Avenue-Ct-S-98444/home/3007401,NWMLS as Distributed by MLS Grid,2392124,N,Y,47.1698377,-122.4568959
PAST SALE,July-7-2025,Single Family Residential,4325 25th St SE,Puyallup,WA,98374,735000,4,2.5,South Hill,2698,7000,2012,,272,68,Sold,,,https://www.redfin.com/WA/Puyallup/4325-25th-St-SE-98374/home/22792490,NWMLS as Distributed by MLS Grid,2387303,N,Y,47.150944,-122.2616064
PAST SALE,June-20-2025,Single Family Residential,8202 185th Street Ct E,Puyallup,WA,98375,525000,3,2.5,South Hill,1802,7259,2001,,291,31,Sold,,,https://www.redfin.com/WA/Puyallup/8202-185th-Street-Ct-E-98375/home/2994164,NWMLS as Distributed by MLS Grid,2378105,N,Y,47.0877867,-122.3199983
PAST SALE,October-15-2025,Single Family Residential,1407 S 41st St,Tacoma,WA,98418,415000,2,1.0,South Tacoma,1004,6050,1941,,413,,Sold,,,https://www.redfin.com/WA/Tacoma/1407-S-41st-St-98418/home/2939924,NWMLS as Distributed by MLS Grid,2429312,N,Y,47.2201912,-122.452865
PAST SALE,June-27-2025,Single Family Residential,6315 41st St E,Fife,WA,98424,643000,4,2.5,Fife,2668,3791,2005,,241,46,Sold,,,https://www.redfin.com/WA/Fife/6315-41st-St-E-98424/home/3041639,NWMLS as Distributed by MLS Grid,2367535,N,Y,47.2193095,-122.3449124
