PROPERTY TYPE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET
Single Family Residential,3508 NE 98th St,Seattle,1199000.0,4.0,2.0,Wedgwood,2220.0,8222.0,1957.0,2.0,540.0
Single Family Residential,12736 67th Pl S,Seattle,750000.0,4.0,2.5,Campbell Hill,2250.0,3379.0,2007.0,2.0,333.0
Single Family Residential,9820 S 210th Pl,Kent,600000.0,3.0,1.5,Kent,1060.0,9659.0,1963.0,4.0,566.0
Single Family Residential,16602 126th Ave SE,Renton,649000.0,3.0,2.0,Benson Hill,1200.0,7616.0,1963.0,10.0,541.0
Single Family Residential,30231 129th Ave SE,Auburn,742950.0,4.0,3.0,Lea Hill,2400.0,7008.0,1999.0,10.0,310.0
Townhouse,11564 SE 170th Ct,Renton,424990.0,2.0,2.5,Renton,1160.0,1579.0,2007.0,14.0,366.0
Single Family Residential,1903 Clovercrest St,Enumclaw,475000.0,3.0,1.0,Enumclaw,1180.0,7600.0,1963.0,16.0,403.0
Single Family Residential,3067 S 276th Ct,Auburn,785000.0,3.0,2.5,Star Lake,2230.0,4511.0,2018.0,17.0,352.0
Single Family Residential,4535 NE 55th St,Seattle,1075000.0,3.0,3.5,Windermere,1700.0,1969.0,2006.0,17.0,632.0
Single Family Residential,13209 69th Ave NE,Kirkland,1595000.0,4.0,3.0,Holmes Point,2940.0,20328.0,1960.0,18.0,543.0
Townhouse,4100 37th Ave S,Seattle,599000.0,2.0,2.0,Columbia City,1212.0,630.0,2020.0,18.0,494.0
Townhouse,102 24th Ave E Unit A,Seattle,875000.0,3.0,3.0,Central Area,1313.0,1395.0,2004.0,23.0,666.0
Single Family Residential,212 SW 327th Pl,Federal Way,688000.0,5.0,3.0,West Campus,2460.0,8194.0,1984.0,23.0,280.0
Single Family Residential,10412 320th Ave NE,Carnation,650000.0,3.0,1.0,Lake Marcel,1250.0,16412.0,1978.0,26.0,520.0
Single Family Residential,14602 SE 274th St,Kent,649950.0,5.0,3.0,Kent,2160.0,8580.0,1980.0,26.0,301.0
Single Family Residential,13761 30th Ave NE,Seattle,799000.0,3.0,2.0,Lake City,1800.0,7037.0,1943.0,30.0,444.0
Single Family Residential,14020 Bagley Ave N,Seattle,865000.0,4.0,2.0,Northgate,1480.0,7622.0,1955.0,30.0,584.0
Single Family Residential,18704 58th Ave NE,Kenmore,1281000.0,3.0,3.0,Kenmore,3110.0,14000.0,1960.0,30.0,412.0
Single Family Residential,14636 26th Ln S,Seatac,680000.0,4.0,2.0,Riverton,2000.0,13547.0,1942.0,31.0,340.0
Single Family Residential,13701 SE 275th Pl,Kent,719000.0,4.0,3.0,Kent,2142.0,6564.0,1994.0,37.0,336.0
Single Family Residential,23815 SE 472nd St,Enumclaw,589995.0,3.0,2.0,Enumclaw,1650.0,14400.0,1972.0,37.0,358.0
Single Family Residential,7301 19th Ave SW,Seattle,725000.0,4.0,2.5,Delridge,1960.0,5880.0,1960.0,37.0,370.0
Single Family Residential,18413 SE 242nd Ct,Covington,699999.0,3.0,2.5,Kent,2222.0,4441.0,2008.0,38.0,315.0
Single Family Residential,5212 S Mayflower St,Seattle,1450000.0,4.0,3.0,Seward Park,2384.0,6000.0,1909.0,39.0,608.0
Townhouse,2653 NW 64th St Unit A,Seattle,830000.0,3.0,2.0,Ballard,1440.0,1105.0,2014.0,39.0,576.0
Single Family Residential,3442 15th Ave W,Seattle,699000.0,2.0,1.0,Queen Anne,1560.0,2825.0,1911.0,39.0,448.0
Single Family Residential,23442 27th Ave S,Des Moines,650000.0,4.0,3.0,Des Moines,1840.0,8250.0,1957.0,44.0,353.0
Single Family Residential,1698 SW 344th Pl,Federal Way,1049900.0,4.0,3.5,Madrona,3200.0,8620.0,2022.0,44.0,328.0
Single Family Residential,13892 473rd Ct SE,North Bend,1325000.0,4.0,2.5,North Bend,2570.0,20235.0,1997.0,44.0,516.0
Townhouse,901 28th Ave S Unit G,Seattle,739000.0,3.0,2.0,Leschi,1350.0,779.0,2022.0,45.0,547.0
Single Family Residential,33324 SE 126th St,Issaquah,875000.0,3.0,3.0,Upper Preston,1750.0,11100.0,1963.0,45.0,500.0
Townhouse,862 3rd Ave NE,Issaquah,859000.0,3.0,2.5,Issaquah Highlands,1707.0,997.0,2012.0,46.0,503.0
Townhouse,14308 Midvale Ave N,Seattle,498750.0,2.0,2.0,Northgate,1160.0,703.0,2017.0,47.0,430.0
Single Family Residential,1910 S Lander St,Seattle,830000.0,2.0,2.0,N Beacon Hill,2330.0,4000.0,1905.0,47.0,356.0
Single Family Residential,1508 S 223rd St,Des Moines,949999.0,4.0,2.0,Des Moines,2750.0,8514.0,2015.0,48.0,345.0
Townhouse,4275 Stossel Ave,Carnation,814900.0,4.0,2.5,Downtown Carnation,1685.0,1699.0,2025.0,58.0,484.0
Townhouse,8751 14th Ave NW Unit G,Seattle,718500.0,3.0,2.0,Crown Hill,1485.0,1197.0,2022.0,59.0,484.0
Townhouse,109 22nd Ave E Unit C,Seattle,680000.0,2.0,2.0,Capitol Hill,1050.0,613.0,2020.0,60.0,648.0
Single Family Residential,3502 SW 328th Pl,Federal Way,639000.0,4.0,2.0,Twin Lakes,1560.0,8200.0,1970.0,60.0,410.0
Single Family Residential,22309 115th Pl SE,Kent,610000.0,3.0,2.0,Kent,1488.0,8550.0,1965.0,65.0,410.0
Single Family Residential,14803 113th Ave NE,Kirkland,1130000.0,4.0,2.0,Kirkland,1520.0,7800.0,1967.0,66.0,743.0
Single Family Residential,10114 11th Ave S,Seattle,695000.0,4.0,2.0,Boulevard Park,1760.0,7800.0,1984.0,66.0,395.0
Single Family Residential,110 NW 188th St,Shoreline,1080000.0,4.0,3.0,Richmond Beach,1910.0,9800.0,1955.0,67.0,565.0
Single Family Residential,19028 SE Covington Sawyer Rd,Kent,539000.0,3.0,2.0,Kent,1200.0,10890.0,1972.0,71.0,449.0
Single Family Residential,751 SE 11th St,North Bend,1345000.0,4.0,2.5,North Bend,3200.0,7652.0,2015.0,72.0,420.0
Townhouse,6562 5th Ave NE Unit C,Seattle,889000.0,3.0,2.5,Green Lake,1360.0,1156.0,2003.0,73.0,654.0
Single Family Residential,2109 S Horton St,Seattle,610000.0,2.0,1.0,N Beacon Hill,920.0,2750.0,1919.0,74.0,663.0
Single Family Residential,16300 270th Pl NE,Duvall,998000.0,4.0,3.0,Duvall,2597.0,5651.0,2016.0,75.0,384.0
Single Family Residential,17841 4th Ave NW,Shoreline,999000.0,4.0,2.5,Richmond Highlands,2220.0,7700.0,1964.0,79.0,450.0
Townhouse,4265 Stossel Ave,Carnation,799900.0,4.0,2.5,Downtown Carnation,1685.0,1683.0,2025.0,86.0,475.0
Townhouse,1743 NW 58th St Unit A,Seattle,760000.0,2.0,2.5,Ballard,1350.0,1299.0,2009.0,87.0,563.0
Multi-Family (2-4 Unit),1414 E Fir St E,Seattle,940000.0,5.0,2.0,Capitol Hill,2210.0,3600.0,1901.0,1.0,425.0
Multi-Family (2-4 Unit),7138 47th Ave SW,Seattle,865000.0,3.0,2.5,Lincoln Park,2180.0,5250.0,1955.0,1.0,397.0
Single Family Residential,3209 61st Ave SW,Seattle,1148000.0,3.0,1.5,Alki,1780.0,4800.0,1960.0,1.0,645.0
Single Family Residential,31114 29th Ct SW,Federal Way,755000.0,4.0,2.5,Federal Way,3006.0,9583.0,2005.0,1.0,251.0
Condo/Co-op,10811 24th Ave NE,Seattle,998000.0,2.0,2.5,Victory Heights,1260.0,4338.0,2025.0,1.0,792.0
Single Family Residential,7030 123rd Ave SE,Newcastle,839000.0,3.0,1.5,Newcastle,1070.0,13175.0,1962.0,1.0,784.0
Townhouse,8517 7th Ave S,Seattle,524900.0,2.0,2.0,South Park,1060.0,780.0,2018.0,1.0,495.0
Single Family Residential,1612 SW California Ave Unit D,Seattle,899000.0,3.0,2.5,North Admiral,1570.0,809.0,2018.0,1.0,573.0
Single Family Residential,6732 21st Ave SW,Seattle,949000.0,4.0,3.5,Pigeon Point,2368.0,3753.0,2025.0,1.0,401.0
Single Family Residential,34714 52nd Ave S,Auburn,415000.0,2.0,1.0,Jovita Heights,770.0,9600.0,1976.0,1.0,539.0
Townhouse,4027 California Ave SW Unit D,Seattle,698000.0,3.0,2.0,Alaska Junction,1350.0,1374.0,2016.0,1.0,517.0
Townhouse,9209 Densmore Ave N,Seattle,909900.0,4.0,2.5,Licton Springs,1801.0,641.0,2025.0,2.0,505.0
Single Family Residential,17129 10th NE,Shoreline,1200000.0,3.0,1.0,Ridgecrest,1420.0,19106.0,1950.0,2.0,845.0
Single Family Residential,16621 188th Ave SE #3,Renton,699950.0,3.0,2.0,Maple Valley Heights,1750.0,20000.0,1976.0,2.0,400.0
Single Family Residential,10124 SE 243rd St,Kent,699000.0,4.0,2.5,East Hill,1900.0,5369.0,1996.0,2.0,368.0
Townhouse,2400 W Boston St,Seattle,724950.0,2.0,2.5,Magnolia,980.0,1530.0,2006.0,2.0,740.0
Single Family Residential,18028 51st Ave S,Seatac,599950.0,4.0,3.0,McMicken Heights,2340.0,7941.0,1982.0,2.0,256.0
Condo/Co-op,3121 W Government Way #302,Seattle,503000.0,2.0,2.0,Magnolia,893.0,893.0,2002.0,2.0,563.0
Townhouse,3014 B NW 56th St,Seattle,949000.0,3.0,2.0,Ballard,1530.0,1030.0,2025.0,2.0,620.0
Single Family Residential,1619 S 226th Pl,Des Moines,725000.0,2.0,2.0,Des Moines,2490.0,12196.0,1979.0,2.0,291.0
Single Family Residential,19006 SE 269th St,Covington,449950.0,3.0,1.0,Timberlane,1060.0,5144.0,1969.0,2.0,424.0
Condo/Co-op,9017 Dibble Ave NW,Seattle,1319000.0,4.0,3.5,Crown Hill,2497.0,3566.0,2025.0,2.0,528.0
Single Family Residential,1512 10th Ave W,Seattle,1150000.0,3.0,3.0,Queen Anne,2300.0,3600.0,1923.0,2.0,500.0
Townhouse,18791 67th Dr NE #6,Kenmore,800000.0,4.0,2.5,Kenmore,1820.0,3366.0,2023.0,2.0,440.0
Single Family Residential,18518 131st Ave SE,Renton,648900.0,4.0,2.0,Renton,1690.0,7350.0,1973.0,2.0,384.0
Townhouse,9223 B Densmore Ave N,Seattle,479900.0,2.0,1.0,Licton Springs,685.0,871.0,2025.0,2.0,701.0
Condo/Co-op,2642 NW 59th St #301,Seattle,446000.0,2.0,1.0,Ballard,721.0,5000.0,1987.0,2.0,619.0
Single Family Residential,220 171ST Pl NE,Bellevue,1895000.0,5.0,3.0,Lochmoor,2840.0,10400.0,1966.0,2.0,667.0
Single Family Residential,12217 SE Petrovitsky Rd,Renton,400000.0,4.0,2.0,Fairwood,1300.0,9250.0,1935.0,2.0,308.0
Single Family Residential,2515 27th Ave W,Seattle,1725000.0,3.0,2.5,Magnolia,2500.0,7680.0,1947.0,2.0,690.0
Townhouse,6538 D Latona Ave NE,Seattle,1125000.0,3.0,2.0,Green Lake,1593.0,768.0,2025.0,2.0,706.0
Single Family Residential,21816 SE 269th St,Maple Valley,649950.0,4.0,2.0,Cherokee Bay,1660.0,7930.0,1990.0,2.0,392.0
Townhouse,822 B NW 52nd St,Seattle,649000.0,2.0,2.0,Ballard,1337.0,613.0,2024.0,2.0,485.0
Single Family Residential,30 SE Bush St,Issaquah,1250000.0,5.0,2.0,Downtown Issaquah,2440.0,9000.0,1949.0,2.0,512.0
Single Family Residential,12832 231st Pl NE,Redmond,1200000.0,2.0,2.0,Trilogy,1670.0,4996.0,2004.0,2.0,719.0
Single Family Residential,2850 NW 65th St,Seattle,850000.0,2.0,1.0,Sunset Hill,1100.0,2550.0,1908.0,2.0,773.0
Single Family Residential,8416 Duncan Ave S,Seattle,614995.0,2.0,1.0,Seward Park,930.0,2625.0,1916.0,2.0,661.0
Townhouse,6308 26th Ave NW,Seattle,669000.0,2.0,1.0,Ballard,869.0,724.0,2020.0,2.0,770.0
Single Family Residential,451 150th Pl NE,Bellevue,1990000.0,4.0,3.0,Bellevue,2990.0,6559.0,1999.0,2.0,666.0
Townhouse,8337 A 12th Ave NW,Seattle,879900.0,4.0,2.5,Whittier,1810.0,1310.0,2025.0,2.0,486.0
Townhouse,8333 D 12th Ave NW,Seattle,654900.0,2.0,2.0,Whittier,1186.0,745.0,2025.0,2.0,552.0
Single Family Residential,13746 Stone Ave N,Seattle,975000.0,3.0,2.5,Haller Lake,2191.0,7200.0,2025.0,2.0,445.0
Single Family Residential,5632 S 149th St,Tukwila,725000.0,4.0,2.5,Tukwila,2846.0,8820.0,1977.0,2.0,255.0
Single Family Residential,2523 31st Ave S,Seattle,1045000.0,4.0,2.0,Mt Baker,2505.0,5000.0,1950.0,2.0,417.0
Single Family Residential,10043 B 8th Ave NW,Seattle,725000.0,3.0,1.5,Crown Hill,1170.0,1166.0,2025.0,2.0,620.0
Single Family Residential,11346 Bartlett Ave NE,Seattle,850000.0,3.0,1.5,Matthews Beach,1320.0,8743.0,1950.0,2.0,644.0
Townhouse,1203 H N Allen Pl,Seattle,1174950.0,4.0,3.0,Fremont,1830.0,1105.0,2025.0,2.0,642.0
Townhouse,4121 B Chilberg Ave SW,Seattle,1015000.0,3.0,2.5,Beach Drive,1629.0,1.0,2025.0,2.0,623.0
Single Family Residential,9704 NE 124th St,Kirkland,1098888.0,3.0,1.5,Kirkland,1220.0,7245.0,1971.0,2.0,901.0
Single Family Residential,3359 Terry Ln,Enumclaw,925000.0,5.0,3.0,Enumclaw,3090.0,8425.0,2019.0,2.0,299.0
Townhouse,926 NW 58th St,Seattle,950000.0,3.0,2.5,Ballard,1496.0,1029.0,2025.0,2.0,635.0
Single Family Residential,1535 55th Ct SE,Auburn,635000.0,4.0,2.5,Lakeland,1990.0,7861.0,1995.0,2.0,319.0
Single Family Residential,19401 SE 267th St,Covington,474995.0,3.0,2.0,Timberlane,1100.0,5525.0,1968.0,2.0,432.0
Single Family Residential,29318 9th Pl S,Federal Way,965000.0,4.0,4.0,Marine Hills,3000.0,15189.0,1971.0,2.0,322.0
Single Family Residential,28833 191st Pl SE,Kent,550000.0,3.0,1.0,Kent,1300.0,10139.0,1963.0,3.0,423.0
Single Family Residential,13750 3rd Ave NW,Seattle,699000.0,3.0,1.5,Broadview,960.0,3880.0,1939.0,3.0,728.0
Single Family Residential,13752 3rd Ave NW,Seattle,815000.0,3.0,2.5,Broadview,1078.0,2507.0,2025.0,3.0,756.0
Single Family Residential,321 3rd St NE,Auburn,444888.0,3.0,1.0,Downtown - Auburn,1130.0,5500.0,1914.0,3.0,394.0
Single Family Residential,21470 SE 299TH Way,Kent,625000.0,3.0,2.5,Kent,2860.0,5801.0,2007.0,3.0,219.0
Single Family Residential,6912 Silent Creek Ave SE,Snoqualmie,1234950.0,4.0,3.5,Snoqualmie Ridge,2950.0,6285.0,2005.0,3.0,419.0
Single Family Residential,3914 S Brandon St,Seattle,899000.0,4.0,3.5,Columbia City,2380.0,2904.0,2021.0,3.0,378.0
Townhouse,1227 B N 48th St,Seattle,1299950.0,4.0,2.0,Wallingford,2014.0,1218.0,2025.0,3.0,645.0
Single Family Residential,2632 NE 24th Ct,Renton,920000.0,4.0,2.5,Kennydale,2100.0,5861.0,2001.0,3.0,438.0
Single Family Residential,622 Mt Teneriffe Dr SE,North Bend,1455000.0,5.0,3.0,North Bend,3450.0,8606.0,2019.0,3.0,422.0
Single Family Residential,2511 NE 1st St,Renton,800000.0,5.0,3.0,Liberty Ridge,2560.0,5250.0,2005.0,3.0,313.0
Townhouse,6014 35th Ave NE,Seattle,1250000.0,4.0,3.5,Bryant,2220.0,1370.0,2025.0,3.0,563.0
Single Family Residential,13432 123rd Ave NE,Kirkland,1289000.0,3.0,2.5,Kingsgate,2180.0,11661.0,1971.0,3.0,591.0
Single Family Residential,11627 NE 75th St,Kirkland,1139000.0,3.0,2.0,Rose Hill,2080.0,5500.0,1940.0,3.0,548.0
Single Family Residential,6226 NE 198th St,Kenmore,799999.0,3.0,2.0,Kenmore,1280.0,7802.0,1954.0,3.0,625.0
Single Family Residential,26825 NE 143rd Cir #05,Duvall,1039995.0,5.0,3.5,Duvall,2663.0,4055.0,2025.0,3.0,391.0
Single Family Residential,311 17th Ave E,Seattle,1139950.0,3.0,2.0,Capitol Hill,1646.0,861.0,2025.0,3.0,693.0
Single Family Residential,30013 2nd Ave SW,Federal Way,850000.0,4.0,2.5,Federal Way,2500.0,10290.0,1976.0,3.0,340.0
Single Family Residential,8810 NE 138th St,Kirkland,875000.0,3.0,1.5,Finn Hill,1300.0,7942.0,1967.0,3.0,673.0
Single Family Residential,4529 327th Pl NE,Carnation,1295000.0,5.0,3.0,Carnation,3300.0,7518.0,2019.0,3.0,392.0
Single Family Residential,34122 SE Moses St,Snoqualmie,1575000.0,5.0,3.5,Snoqualmie Ridge,3730.0,4601.0,2015.0,3.0,422.0
Single Family Residential,16740 SE 44th St,Bellevue,1300000.0,5.0,2.5,Eastgate,2410.0,20473.0,1968.0,3.0,539.0
Condo/Co-op,2002 17th Ave NE Unit R100A,Issaquah,550000.0,2.0,1.5,Issaquah Highlands,1050.0,11616.0,2004.0,3.0,524.0
Townhouse,1625 B 21st Ave,Seattle,1124960.0,3.0,2.0,Capitol Hill,1625.0,1391.0,2025.0,3.0,692.0
Single Family Residential,7245 NE 170th St,Kenmore,995000.0,3.0,2.0,Moorlands,1640.0,11484.0,1955.0,3.0,607.0
Single Family Residential,22902 112th Pl SE,Kent,610000.0,4.0,2.0,Kent,1888.0,7201.0,1980.0,3.0,323.0
Multi-Family (2-4 Unit),2205 M St NE Unit A-B,Auburn,679000.0,4.0,2.0,Auburn,1850.0,6500.0,1969.0,3.0,367.0
Single Family Residential,15618 SE 174th St,Renton,759950.0,4.0,3.0,Fairwood Greens,2180.0,10000.0,1977.0,3.0,349.0
Single Family Residential,4327 S 253rd St,Kent,660000.0,4.0,3.0,West Hill,2070.0,9504.0,1983.0,3.0,319.0
Single Family Residential,24028 235th Ave SE,Maple Valley,650000.0,3.0,2.5,Maple Valley,1700.0,5550.0,2003.0,3.0,382.0
Single Family Residential,14110 SE 278th St,Kent,869990.0,5.0,2.5,Lake Meridian,3070.0,6172.0,2003.0,3.0,283.0
Single Family Residential,1550 NW 60th St,Seattle,950000.0,3.0,2.5,Ballard,1750.0,1250.0,2014.0,3.0,543.0
Single Family Residential,27114 109th Ct SE,Kent,679950.0,3.0,2.5,Kent,1920.0,8711.0,1993.0,3.0,354.0
Single Family Residential,6523 40th Ave NE,Seattle,1619000.0,4.0,2.5,Bryant,2420.0,5304.0,1947.0,3.0,669.0
Single Family Residential,4322 13th Ave S,Seattle,898880.0,3.0,2.0,Beacon Hill,2780.0,4800.0,1931.0,3.0,323.0
Townhouse,8581 Mary Ave NW,Seattle,710000.0,2.0,2.0,Crown Hill,1518.0,810.0,2020.0,3.0,468.0
Single Family Residential,6514 23rd Ave NE,Seattle,1268950.0,3.0,3.5,Ravenna,2142.0,1850.0,2025.0,3.0,592.0
Single Family Residential,34196 56th Ave S,Auburn,879950.0,5.0,3.5,West Auburn,2751.0,6983.0,2013.0,3.0,320.0
Single Family Residential,10615 2nd Pl SW,Seattle,870000.0,3.0,3.0,Top Hat,2272.0,3060.0,2024.0,3.0,383.0
Condo/Co-op,910 Lenora St #1007,Seattle,825000.0,2.0,2.0,Denny Triangle,1212.0,1212.0,2006.0,3.0,681.0
